Company	DS Correct	ET Correct	Count	Num Types	Num MealTypes
p0013985dxgy	37	31	40	61	10
p0041943fdup	7	7	11	132	5
p0088202qfba	296	225	325	41	8
p0007782qfkq	44	24	52	54	5
p0019108bd4m	87	79	108	42	6
p0001875abmc	18	13	19	44	7
p0045220zq6p	1	0	2	350	43
p0078443pqjo	3	1	4	50	10
p0025192jlfj	6	6	6	38	6
p0008739lxhb	23	21	38	89	11
p0081802gzuq	48	33	48	53	9
p0001774rp5t	30	20	35	73	7
p0005133jchs	44	30	46	56	12
p0006658vkoj	71	35	91	43	6
p0012648ahfb	34	24	39	33	9
p00817517alu	40	24	42	80	13
p0028653xzwg	2	2	7	48	9
p0022896boam	2	2	2	31	5
p0003020owze	56	50	59	39	7
p0071035oekf	1	0	1	42	10
p0077564guti	0	0	2	41	2
p0009515w4fx	2	2	2	46	8
p0036560xryl	8	2	10	74	11
p0005247qudm	50	35	53	46	9
p0007971ngim	273	211	330	65	8
p0007178j7bh	38	21	42	52	8
p0017605wney	8	5	8	31	5
p0083009tjsq	13	9	25	88	12
p0092294mj9d	111	59	123	57	8
p0090423abuo	223	173	227	59	11
p0010806twhc	12	3	14	40	5
p0087464medq	138	97	147	58	11
p0073817u3f5	170	123	182	45	7
p0003749a6jk	58	49	60	56	9
p0010674tkjz	2	2	2	45	7
p0067897jzdm	109	65	111	50	14
p0004918auvg	12	8	12	46	6
p0001173dbqw	7	5	7	61	10
p0087076753e	252	180	279	45	6
p0091301lsdc	0	0	1	53	10
p0025073mpr7	2	1	3	52	6
p00024103bc5	56	56	61	52	9
p0059233apcg	169	137	185	54	6
p0007805ghfg	19	6	22	50	14
p00128076om6	45	36	52	53	9
p0096168s3gd	1	0	1	171	10
p0086144tnck	93	66	100	38	6
p007435174je	6	5	10	56	8
p00893293vsa	137	77	148	38	9
p0002488lqvj	37	37	40	101	12
p00822853blr	3	3	6	40	7
p00722677ynw	53	25	80	69	7
p0009078dghj	24	16	24	43	8
p0011366ljag	391	251	415	83	12
p00295633qlf	6	3	6	60	15
p0091124wsvt	73	76	93	19	3
p0019054gohq	13	9	15	39	10
p0099170xhxu	567	432	584	53	9
p00078107ovh	16	9	38	23	4
p0038879bqob	6	3	6	31	9
p0089276ec5i	327	215	346	47	9
p00398897ikp	26	25	29	68	11
p0087870ejit	698	619	811	43	6
p0040686528c	49	35	49	90	10
p0095440o7e8	148	92	156	74	13
p0072864wvsz	122	109	128	40	8
p0076710rjeq	2	2	2	40	9
p0006976hgon	25	15	31	26	5
p0070052jlp9	48	40	57	42	8
p004891676bp	71	71	95	28	5
p000854248xp	4	4	6	37	5
p00891992rke	55	50	57	57	13
p0090211qawy	33	16	36	59	9
p00738539kv7	4	3	4	44	7
p0069155yldj	870	638	899	75	10
p0099360ytfr	116	97	129	57	8
p0095454spvh	159	137	181	40	7
p00057255y4r	57	39	57	67	9
p0045651alut	119	113	143	78	7
p00678142gel	61	30	62	79	13
p0006644d85m	24	9	25	54	9
p0087529o4mc	110	85	119	36	8
p00682643fi2	33	34	47	77	14
p0018976nvbo	120	87	133	61	12
p0007789qz68	38	35	39	32	5
p0084724ycmb	457	330	528	62	8
p0097547bo4k	8	6	16	25	7
p0081224jfdb	4	4	4	40	7
p0096196won8	10	14	16	37	4
p0065169pm6r	138	125	149	39	4
p0000745jr8u	7215	4660	7907	95	17
p0006077kepk	67	51	76	52	7
p00706406xqu	6	3	14	93	4
p0068408cmiy	8	7	10	47	9
p00924097m5k	271	208	292	26	7
p0010814azgm	35	25	38	33	7
p0091464up3d	88	82	111	69	9
p00057394ri5	45	31	47	45	9
p0093939uv6o	121	77	204	42	7
p0007661k7ln	7	2	7	40	10
p00046668gsr	495	369	511	35	11
p0001358hmnx	13	11	24	107	14
p00592072pox	6	6	10	25	3
p0069177xafg	7	6	8	52	11
p0089274a89i	154	104	163	52	8
p0040129rvth	138	110	142	41	7
p0079575fym4	34	25	37	66	7
p0026391rnse	89	66	93	91	13
p0000171rmil	332	296	362	46	5
